Latitude,Longitude,Pb,Cu,Region
42.997119,-83.727332,7,0,South
42.996902,-83.730243,0,0,South
42.996896,-83.730396,3,140,South
42.996172,-83.726712,3.666666667,123.3333333,South
42.996148,-83.718761,3,310,South
42.995497,-83.734776,1,90,South
42.995465,-83.735825,0,0,South
42.995054,-83.72182,2,80,South
42.995005,-83.72934,0,35,South
42.994713,-83.690954,0,0,South
42.994694,-83.692572,0,0,South
42.994638,-83.731451,0,0,South
42.994571,-83.686408,2,70,South
42.994454,-83.731296,4,0,South
42.993729,-83.722954,110,360,South
42.993722,-83.727903,4,0,South
42.99312,-83.729169,2,180,South
42.992876,-83.729714,0,0,South
42.992741,-83.659368,0,0,South
42.992459,-83.721757,0,133.3333333,South
42.992385,-83.729093,0,90,South
42.992134,-83.705413,0,0,South
42.99168,-83.707008,0,80,South
42.991558,-83.676024,1,130,South
42.991452,-83.726085,11,110,South
42.9914,-83.699655,0,35,South
42.990963,-83.698904,2,50,South
42.990953,-83.700247,1,0,South
42.9909,-83.730533,1.5,45,South
42.990872,-83.728648,9.5,200,South
42.990701,-83.698263,0,360,South
42.990466,-83.684595,0,0,South
42.990276,-83.695782,2.5,185,South
42.989685,-83.705979,4,220,South
42.989219,-83.708559,0,0,South
42.989058,-83.662755,4,0,South
42.988568,-83.709579,0,150,South
42.988568,-83.685926,1,0,South
42.98852,-83.702834,0,0,South
42.987916,-83.670916,2,0,South
42.987912,-83.710512,0,0,South
42.987871,-83.683814,1,0,South
42.98724,-83.66142,0,0,South
42.986378,-83.707647,0,60,South
42.986162,-83.698766,0,0,South
42.985967,-83.698655,3,120,South
42.985871,-83.657196,3,55,South
42.985757,-83.691568,0,300,South
42.985679,-83.684244,0,80,South
42.985652,-83.704506,0,0,South
42.985528,-83.691429,2,0,South
42.985406,-83.680785,0,0,South
42.985394,-83.667724,0,280,South
42.985175,-83.696907,6,0,South
42.985166,-83.698218,0,80,South
42.985133,-83.687514,5,0,South
42.985023,-83.671406,0,0,South
42.98501,-83.696002,14.5,45,South
42.984978,-83.671166,0,0,South
42.984929,-83.668117,0,70,South
42.984904,-83.708699,0,60,South
42.984868,-83.657892,0,90,South
42.984804,-83.655244,0,0,South
42.984585,-83.708405,0,0,South
42.984542,-83.691782,0,0,South
42.984493,-83.694362,1,0,South
42.984354,-83.693984,0,0,South
42.984317,-83.69436,0,0,South
42.984286,-83.684177,0,0,South
42.984269,-83.662578,2,300,South
42.984146,-83.680752,0,0,South
42.984,-83.664463,1.5,0,South
42.983942,-83.672565,5,370,South
42.983923,-83.693666,7.5,35,South
42.983922,-83.694738,0,60,South
42.983851,-83.66607,18,270,South
42.983774,-83.696627,9,0,South
42.983696,-83.666282,0,360,South
42.983626,-83.696621,0,0,South
42.983481,-83.69897,0,120,South
42.983267,-83.704445,3,80,South
42.983254,-83.66764,87,840,South
42.983209,-83.707663,24.5,80,South
42.983187,-83.688577,0,120,South
